Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
label,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
5SrRNA-3,-7.65098,7,10.123505,25.364716,-77.43083,-48.59375,-52.933067,-29.603111,-9.141731,145.59796,-82,-14.0236225,81,-10.674515,-26.133331,-58.820312,-10.035431,-4.5199966,-20.02391
5SrRNA-3,-7.6640625,-20,24.279526,32.286285,-56.97255,-34.60392,-45.490196,-36.839844,-14.996017,151.28049,18,-1.6496067,83,-9.179283,14.308594,-49.18431,-9.226189,7.653694,9.79216
5SrRNA-3,4.1015625,10,25.777344,27.007904,-68.296875,-45.29084,-27.678429,-85.2126,-8.953125,99.5963,-81,-7.3661423,307,0.5546875,-9.247055,-36.94922,-7.3203125,32.26953,-13.8125
5SrRNA-3,-8.4,-8,-11.039215,23.367188,-78.56626,-29.81569,-42.570312,-57.58203,-17.876984,50.902344,-81,-14.916,100,56.77777,8.279999,-28.397636,-30.645668,5.2617188,4.1960754
5SrRNA-5,23570.34,36200,46351.715,52967.83,42991.82,53903.49,47738.418,43105.707,45261.047,38510.74,4699,26050.285,38425,40083.434,28121.174,22966.375,37297.16,43326.035,39004.336
5SrRNA-5,24139.926,37593,52135.984,50449.188,42607.902,52052.168,48729.895,43616.28,46656.39,40279.85,4878,26128.754,39534,41629.12,29883.111,23021.99,36964.406,44720.645,36500.984
5SrRNA-5,23976.209,36964,50200.684,50247.79,45306.87,51917.71,47347.38,44902.59,44177.418,34304.934,4984,20273.54,38007,43079.934,31117.08,23974.33,37490.285,47793.36,36499.77
5SrRNA-5,25492.809,296,51781.164,48234.42,43914.457,49785.582,48530.65,41831.297,44733.15,30627.152,4488,25229.695,263,43970.363,32673.203,24130.432,37526.016,47787.99,34098.664
ebv-miR-BART10,-9.325491,-26,-37.835342,-63.660004,-95.875,-62.254906,-61.325302,-57.703125,-16.627998,1129.7971,-1,-9.133333,-42,-55.773438,-71.37891,-70.171875,-22.113724,-40.232285,-53.65625
ebv-miR-BART10,-2.40625,-2,-48.68094,-28.68898,-85.8486,-68.8353,-58.078743,-46.64706,-25.733067,-40.671936,7,1.484375,-21,-29.97638,-33.960938,-38.862747,-31.356861,-22.896416,-10.125
ebv-miR-BART10,-7.5372543,-11,-12.102356,-16.956177,-73.326775,-67.513725,-56.65625,-89.33333,-19.566406,-31.466667,-18,-6.890196,-37,-18.109375,-19.988235,-15.566933,-10.376472,-15.84462,-21.97647
ebv-miR-BART10,-6.396078,-13,-32.681107,-23.933075,-73.20233,-71.57936,-56.384315,-72.53969,-15.888443,-4.807846,-31,-4.8554688,-19,-6.6784363,-40.503906,-38.976562,-34.48819,-23.573704,-7.614174
ebv-miR-BART10*,-10.83004,9,-27.771652,-62.890198,-97.31474,-79.734375,-58.265625,-24.870079,-50.851406,-41.653694,-15,-11.0637455,-32,-19.40625,-41.101562,-44.232285,-23.913727,-56.14118,-21.019531
ebv-miR-BART10*,-8.751968,1,-32.80078,-64.33203,-86.184,-61.201584,-41.753906,-31.992188,-17.641731,-42.454903,2,65.80537,4,2.2412415,-43.615685,-40.776474,-23.724411,-26.03891,9.641434
ebv-miR-BART10*,-15.968872,-6,-23.16536,-37.271652,-69.14453,-59.76953,-60.7451,-30.236221,-5.7333336,-33.234375,15,-7.4763775,-15,8.621094,-18.814964,-28.685036,3.8470612,-14.222221,-10
ebv-miR-BART10*,-7.917322,-8,-1.8359375,-16.707031,-82.12253,-52.125984,-37.234375,-83.140625,0.01953125,-17.678429,21,-0.6454201,-17,27.627998,-13.046875,-4.4140625,-25.629482,-29.466404,-0.25196838
ebv-miR-BART11-3p,-13.023529,-12,-53.44313,-33.559525,-88.05469,-69.44141,-64.31746,-41.142857,-30.27668,-20.57647,-16,0.83984375,-6,-29.521568,-67.644,-51.859375,-32.15873,-35.85098,-30.825394
ebv-miR-BART11-3p,-13.246094,-27,-59.892426,-30.066406,-66.059525,-73.55469,-55.36328,-50.752987,-46.10547,-29.33466,10,-2.632,-3,-26.039062,-57.78884,-45.08203,-38.380394,-35.26378,-13.951805
ebv-miR-BART11-3p,-13.171875,-10,-3.4335938,-46.04297,-67.015686,-52.48828,-38.490273,-65.75299,-49.484375,-5.064003,-33,-4.9609375,-3,-1.6653671,-58.484253,-39.90625,-38.47451,-24.688717,-31.0625
ebv-miR-BART11-3p,-11.214844,5,-7.6039276,-51.710938,-80.89764,-63.325302,-43.36111,-59.913387,-46.816406,-28.984127,-18,-11.42745,5,-11.82745,-88.72762,-40.236,-35.277344,-20.945526,-26.44706
ebv-miR-BART11-5p,-11.482353,-24,-13.509811,-135.47058,-84.69804,-93.24901,-53.679688,-57.20866,-38.301586,-31.725487,68,-3.8313713,-30,-34.704727,-32.539062,-19.099602,-37.439217,-33.410156,-18.003937
ebv-miR-BART11-5p,-8.8984375,0,-30.066406,-37.657486,-64.13333,-87.55859,-54.73333,-36.26667,-6.9803925,-46.42353,24,-5.4863815,-14,-20.132812,-39.886276,-22.464844,-40.357975,-41.2,-34.984062
ebv-miR-BART11-5p,-9.286274,18,-12.884003,44.601562,-81.56641,-64.114174,-52.773438,-92.72656,6.760788,-37.371094,30,-7.317646,-22,22.539062,-29.015812,-1.8359375,-12.20079,-41.116,-12.9453125
ebv-miR-BART11-5p,-10.856573,-17,-34.58432,-31.863281,-54.427452,-50.501976,-22.933334,-56.345238,-42.184315,-21.658821,19,-19.348,-21,-3.3784866,-6.349022,0.38671875,-19.406376,-30.337257,-17.44664
