Name,GSM532843,GSM532844,GSM532845,GSM532846,GSM532847,GSM532848,GSM532849,GSM532850,GSM532851,GSM532852,GSM532860,GSM532861,GSM532862,GSM532863,GSM532864,GSM532865,GSM532866,GSM532867,GSM532868
label,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
hsa-miR-520c-3p ,-49.2925475,-19.5,-49.870837,-20.09648528,-121.750955,-98.537475,-87.45605625,-77.89420375,-71.74617575,-59.0333775,-49.25,-40.55363075,-33.5,-24.09695825,-34.3011075,-58.96526625,-77.892592,-55.81811975,-25.23140775
hsa-miR-497 ,-46.17082225,-23.75,-5.934230675,-25.08992369,-108.605261,-93.78917275,-77.9068975,-72.6571635,-64.57166125,-48.5250555,-39,-39.1781245,-3.5,34.91927375,-31.8584655,-77.1157825,-61.90354,-64.50331525,-21.202591
hsa-miR-606 ,-40.88164925,-49.5,72.998672,95.0872965,-111.142015,-101.0221988,-88.638854,-97.082516,-82.96342625,-57.533593,-52.25,-40.73555125,-45.75,73.3924945,24.61579881,-53.6987645,-75.39317875,-59.527561,40.80297525
hsa-miRPlus-E1154 ,-38.83468075,-38.75,-27.04291125,-36.02445275,-106.7252063,-26.538673,-79.2508185,-78.425695,-27.60136826,2.99603654,-36,-24.182432,-0.5,-60.1521115,-38.43459775,-37.82290475,-31.1183705,-48.69541275,-44.65306075
hsa-miR-181a* ,-38.39601525,-39.25,-50.67420925,-25.5233195,-101.8232325,-91.95112,-80.3916475,-78.355462,-68.47951025,-49.956547,-12.75,-40.8967185,-65,-26.243627,-22.04060195,-59.7959505,-69.019792,-56.551744,-24.72264675
hsa-miR-889 ,-38.28971675,-17,-48.98232963,-34.65035625,-119.1495775,-107.25247,-100.4341875,-75.6520425,-69.61268775,-47.18514575,-31.5,-35.47023925,-3.25,-43.0549155,-38.861233,-74.876329,-72.67337175,-65.722663,-47.54130175
hsa-miR-888 ,-37.94069075,-19,71.80220725,105.1736775,-127.8968538,-103.0814475,-92.615136,-78.230055,-74.952765,-54.018116,-79.75,-40.91273775,132.5,189.49942,170.56752,-55.6035196,-69.7876805,-62.27980925,222.4789125
hsa-miR-369-5p ,-37.90461025,-43.5,-18.5634685,-13.793091,-104.0388,-90.9415325,-77.712964,-92.8280185,-62.89764425,-58.3819885,-37.25,-39.598828,-62.75,-6.458244325,-15.2950345,-36.65816695,-65.4438925,-61.8167425,-35.87709
hsa-miR-579 ,-37.700739,-23.75,-45.24925675,-47.89042275,-101.39806,-109.567589,-73.194305,-81.7768155,-72.1990785,-47.64310775,-65,-36.163404,-45.75,-0.33419825,-16.3208732,-49.05487625,-58.5058595,-64.76269525,-6.91011435
hsa-miR-626 ,-37.6337675,-4.5,-60.7013165,-32.95598238,-92.5069065,-82.1455345,-72.625278,-64.82242325,-54.042387,-9.088495488,-33,-29.7762425,3.5,-37.4231395,-35.15671175,-67.154717,-54.332065,-41.558363,-45.6797065
hcmv-miR-US25-2-3p ,-37.20187375,-36.75,-40.83167675,-37.476341,-108.5093338,-99.225055,-80.60665025,-87.81522,-53.706408,-29.912221,-44,-32.53880625,-21.5,-20.87433251,-31.75723075,-53.69433375,-65.6962615,-51.74996125,-48.68094425
hsa_negative_control_8 ,-36.8608495,-76.25,-91.68015625,-63.646324,-74.97305854,-128.478255,-94.19835625,-76.71751075,-59.38258575,-69.684905,-58.25,-42.35326,-97.25,-70.1735945,-48.83524525,-60.2700045,-66.507036,-65.8687875,-81.5473945
hsa-miR-556-5p ,-36.82876375,-59.75,-73.1933855,-83.40069575,-106.070564,-92.672775,-71.174189,-80.658021,-68.28456875,-40.3380735,-51.25,-36.50275325,-71.75,-47.44700525,-42.936433,-38.48885725,-61.1760475,-67.9284245,-65.33345775
hsa-miR-153 ,-36.7784305,-75.25,-78.782917,-53.075432,-123.1169825,-93.587473,-93.25402675,-85.02813,-76.87433875,-68.31811125,-75.5,-52.95712325,-98.5,-55.2669765,-49.59511775,-55.4151075,-66.30093275,-74.03860775,-67.014501
hsa-miR-380* ,-36.77226625,-53,-27.8464205,-50.65339975,-105.3750625,-104.7100735,-86.73802875,-82.2185025,-47.501445,-64.837975,-42.5,-34.00326975,-72.5,-32.74614025,-41.6823425,-45.2512005,-64.655405,-70.297355,-47.79984375
hsa-miR-379* ,-36.31839675,-23.75,-42.05932575,-41.96248175,-111.455725,-97.38127,-82.39868525,-84.3063435,-50.104746,-34.692729,-16.75,-27.29879725,-11.5,-32.5470525,-27.24038135,-34.24322325,-55.22736725,-51.9233585,-36.5332395
hsa-miR-216b ,-35.88595575,-36.5,-49.33133775,-22.04809931,-100.180884,-103.4698948,-75.58827025,-80.349289,-50.12281225,-35.536851,-28.75,-37.90895225,-66.5,-37.65283588,-34.69638425,-19.3076997,-63.97073475,-63.3964435,-40.3324755
hsa-miR-548c-5p ,-35.49030975,-23.25,-37.99451131,-43.77570725,-94.1252035,-103.2290575,-82.7451995,-75.7817415,-61.876644,-42.46500168,-28.25,-32.26355325,-47,36.77435325,-44.60286325,-44.520705,-55.4229775,-53.902573,-23.76837525
hsa-miR-770-5p ,-35.1555195,-22.5,-47.97008525,-54.50585875,-122.5957235,-106.2642175,-90.07762625,-80.99702125,-46.94565088,-67.6486545,-6.5,-33.7022315,-43.75,-26.9443035,-23.18097075,-43.63996225,-51.65538325,-64.72221375,-33.5773005
